film,liked
top-gun-maverick,false
the-northman,false
everything-everywhere-all-at-once,false
the-batman,false
the-matrix-resurrections,false
dont-look-up-2021,false
nightmare-alley-2021,false
no-time-to-die-2021,false
spencer-2021,false
dune-2021,true
the-card-counter,false
the-power-of-the-dog,false
cmon-cmon,false
shang-chi-and-the-legend-of-the-ten-rings,false
the-green-knight,false
the-suicide-squad,false
jungle-cruise,false
pig-2021,false
memoria-2021,false
titane,false
the-french-dispatch,true
drive-my-car,true
after-yang,true
the-worst-person-in-the-world,false
no-sudden-move,false
roadrunner-a-film-about-anthony-bourdain,false
bo-burnham-inside,true
wheel-of-fortune-and-fantasy,false
judas-and-the-black-messiah,false
coda-2021,false
borat-subsequent-moviefilm,false
the-trial-of-the-chicago-7,false
another-round,false
nomadland,false
one-night-in-miami,false
im-thinking-of-ending-things,false
tenet,false
da-5-bloods,false
minari,false
the-hidden-life-of-trees,false
6-underground,false
queen-slim,false
el-camino-a-breaking-bad-movie,false
the-irishman-2019,false
jojo-rabbit,false
knives-out-2019,false
sound-of-metal,true
corpus-christi-2019,false
the-two-popes,false
joker-2019,false
waves-2019,false
uncut-gems,false
marriage-story-2019,false
anima-2019,false
midsommar,false
parasite-2019,true
once-upon-a-time-in-hollywood,false
portrait-of-a-lady-on-fire,false
the-lighthouse-2019,true
the-peanut-butter-falcon,false
the-last-black-man-in-san-francisco,false
the-farewell-2019,true
honey-boy,false
serenity-2019,false
vice-2018,false
spider-man-into-the-spider-verse,false
venom-2018,false
high-life-2018,false
first-man,false
crazy-rich-asians,false
burning-2018,true
blackkklansman,false
shoplifters,true
arctic-2018,false
beirut,false
a-quiet-place-2018,false
isle-of-dogs-2018,false
annihilation,false
sorry-to-bother-you,false
eighth-grade,false
phantom-thread,false
murder-on-the-orient-express-2017,false
blade-runner-2049,true
the-death-of-stalin,false
mother-2017,false
three-billboards-outside-ebbing-missouri,true
lady-bird,false
the-shape-of-water,false
dunkirk-2017,false
you-were-never-really-here,false
good-time,false
the-florida-project,false
the-killing-of-a-sacred-deer,false
okja,true
the-disaster-artist,false
baby-driver,false
logan-2017,false
get-out-2017,false
13th,false
lion,false
nocturnal-animals,false
moonlight-2016,false
arrival-2016,false
la-la-land,false
train-to-busan,false
10-cloverfield-lane,false
the-revenant-2015,true
the-hateful-eight,true
the-big-short,false
spectre-2015,false
the-martian,false
spotlight,false
room-2015,true
the-lobster,false
mad-max-fury-road,false
child-44,false
ex-machina-2015,false
the-interview-2014,false
interstellar,false
fury-2014,false
gone-girl,false
nightcrawler,false
the-imitation-game,false
birdman-or-the-unexpected-virtue-of-ignorance,false
chef,false
the-grand-budapest-hotel,false
what-we-do-in-the-shadows,false
whiplash-2014,false
the-wolf-of-wall-street,false
her,false
enemy,false
prisoners,false
this-is-the-end,false
inside-llewyn-davis,false
the-great-gatsby-2013,false
short-term-12-2013,false
zero-dark-thirty,false
django-unchained,false
argo,false
the-place-beyond-the-pines,false
the-master-2012,true
prometheus,false
the-hunt-2012,false
moonrise-kingdom,false
the-girl-with-the-dragon-tattoo-2011,false
hugo,false
tinker-tailor-soldier-spy,false
super-8,false
drive-2011,false
midnight-in-paris,false
the-social-network,true
incendies,false
scott-pilgrim-vs-the-world,false
inception,false
shutter-island,false
fantastic-mr-fox,false
inglourious-basterds,false
the-dark-knight,false
fred-claus,false
there-will-be-blood,false
before-the-devil-knows-youre-dead,false
death-proof,false
no-country-for-old-men,false
the-departed,false
children-of-men,false
inland-empire,false
pans-labyrinth,true
shes-the-man,false
pride-prejudice,false
howls-moving-castle,false
kill-bill-vol-2,false
eternal-sunshine-of-the-spotless-mind,true
oldboy,false
school-of-rock,false
kill-bill-vol-1,false
lost-in-translation,true
memories-of-murder,false
oceans-eleven-2001,false
spirited-away,true
mulholland-drive,false
memento,false
in-the-mood-for-love,false
american-psycho,false
magnolia,false
fight-club,false
being-john-malkovich,false
eyes-wide-shut,false
the-matrix,false
run-lola-run,false
the-truman-show,false
the-big-lebowski,false
jackie-brown,false
good-will-hunting,false
princess-mononoke,true
perfect-blue,false
la-confidential,false
fargo,false
heat-1995,false
se7en,false
la-haine,true
leon-the-professional,false
the-shawshank-redemption,false
chungking-express,true
forrest-gump,true
pulp-fiction,true
schindlers-list,false
porco-rosso,true
reservoir-dogs,false
the-silence-of-the-lambs,false
goodfellas,false
top-gun,false
blade-runner,true
apocalypse-now,true
chess-of-the-wind,false
taxi-driver,false
the-godfather-part-ii,false
the-godfather,false
the-color-of-pomegranates,false
le-samourai,true
the-good-the-bad-and-the-ugly,false
the-battle-of-algiers,false
rashomon,false
